Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
47440416,09/02/2020 04:14:43 PM,09/02/2020 05:08:53 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10306,12 MILBANK ROAD,MILBANK ROAD,NEUTRAL AVENUE,CEDAR GROVE AVENUE,NEUTRAL AVENUE,CEDAR GROVE AVENUE,,STATEN ISLAND,MILBANK ROAD,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/02/2020 05:14:50 PM,02 STATEN ISLAND,5040920052,STATEN ISLAND,955686,143760,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.561217790392675,-74.10280072030771,"(40.561217790392675,-74.10280072030771)"
47440417,09/02/2020 05:08:59 PM,09/02/2020 06:51:04 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11219,1039 40 STREET,40 STREET,10 AVENUE,FT HAMILTON PARKWAY,10 AVENUE,FT HAMILTON PARKWAY,,BROOKLYN,40 STREET,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/02/2020 06:58:58 PM,12 BROOKLYN,3055840059,BROOKLYN,986326,173716,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.64348667623171,-73.99251934684175,"(40.64348667623171,-73.99251934684175)"
47440418,08/31/2020 01:14:19 AM,08/31/2020 01:29:42 AM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10473,66 SOUNDVIEW AVENUE,SOUNDVIEW AVENUE,HORIZON LANE,PUGSLEY AVENUE,HORIZON LANE,PUGSLEY AVENUE,,BRONX,SOUNDVIEW AVENUE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,08/31/2020 01:29:44 AM,09 BRONX,2034360100,BRONX,1025728,233121,ONLINE,Unspecified,BRONX,,,,,,,,40.80644180793378,-73.85017229355661,"(40.80644180793378,-73.85017229355661)"
47440419,09/02/2020 04:20:32 PM,09/02/2020 04:43:48 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,10031,560 WEST  144 STREET,WEST  144 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,,NEW YORK,WEST  144 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2020 04:43:58 PM,09 MANHATTAN,1020750056,MANHATTAN,998173,239932,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.82522248363238,-73.94969287279021,"(40.82522248363238,-73.94969287279021)"
47440420,09/02/2020 05:28:55 PM,09/02/2020 06:01:59 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,Street/Sidewalk,11422,CRAFT AVENUE,CRAFT AVENUE,CRAFT AVENUE,HUXLEY STREET,CRAFT AVENUE,HUXLEY STREET,,,,,Closed,,The Police Department responded and upon arrival those responsible for the condition were gone.,09/02/2020 06:02:04 PM,13 QUEENS,,QUEENS,1057226,176046,ONLINE,Unspecified,QUEENS,,,,,,,,40.64958158881333,-73.73701404890306,"(40.64958158881333,-73.73701404890306)"
47440421,09/02/2020 06:45:07 AM,09/02/2020 07:04:43 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,10040,4 BOGARDUS PLACE,BOGARDUS PLACE,HILLSIDE AVENUE,ELLWOOD STREET,HILLSIDE AVENUE,ELLWOOD STREET,,NEW YORK,BOGARDUS PLACE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/02/2020 07:04:47 AM,12 MANHATTAN,1021710120,MANHATTAN,1003686,252204,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.858895116989814,-73.9297375264514,"(40.858895116989814,-73.9297375264514)"
47440422,09/02/2020 09:33:57 AM,09/02/2020 10:05:37 AM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11238,230 PARK PLACE,PARK PLACE,CARLTON AVENUE,VANDERBILT AVENUE,CARLTON AVENUE,VANDERBILT AVENUE,,BROOKLYN,PARK PLACE,,Closed,,The Police Department issued a summons in response to the complaint.,09/02/2020 10:05:38 AM,08 BROOKLYN,3011640042,BROOKLYN,992466,185937,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67702705859689,-73.97037959655036,"(40.67702705859689,-73.97037959655036)"
47440423,09/02/2020 05:52:07 PM,09/02/2020 06:15:35 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11236,1808 EAST   92 STREET,EAST   92 STREET,SKIDMORE AVENUE,SCHENCK STREET,SKIDMORE AVENUE,SCHENCK STREET,,BROOKLYN,EAST   92 STREET,,Closed,,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/02/2020 06:15:36 PM,18 BROOKLYN,3083220019,BROOKLYN,1014791,168667,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62957584265345,-73.88997154774118,"(40.62957584265345,-73.88997154774118)"
47440424,09/02/2020 11:53:14 AM,09/02/2020 12:14:10 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,Street/Sidewalk,11412,194-28 110 AVENUE,110 AVENUE,194 STREET,DEAD END,194 STREET,DEAD END,,SAINT ALBANS,110 AVENUE,,Closed,,The Police Department responded to the complaint and took action to fix the condition.,09/02/2020 12:14:12 PM,12 QUEENS,4109300033,QUEENS,1050023,195877,PHONE,Unspecified,QUEENS,,,,,,,,40.70406943208553,-73.76277806175881,"(40.70406943208553,-73.76277806175881)"
47440425,09/02/2020 08:55:17 PM,09/02/2020 10:10:28 PM,NYPD,New York City Police Department,Illegal Parking,Double Parked Blocking Traffic,Street/Sidewalk,11213,1289 PROSPECT PLACE,PROSPECT PLACE,TROY AVENUE,SCHENECTADY AVENUE,TROY AVENUE,SCHENECTADY AVENUE,,BROOKLYN,PROSPECT PLACE,,Closed,,The Police Department responded to the complaint and determined that police action was not necessary.,09/02/2020 10:10:29 PM,08 BROOKLYN,3013530001,BROOKLYN,1002555,184638,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.67344648400841,-73.93401017315661,"(40.67344648400841,-73.93401017315661)"
