shape/id,shape/pt-lat,shape/pt-lon,shape/pt-sequence
185,52.296719,13.631534,0
185,52.297459,13.631364,1
185,52.297881,13.631365,2
185,52.298079,13.631372,3
185,52.298142,13.631360,4
185,52.298411,13.631370,5
185,52.298636,13.631378,6
185,52.298924,13.631359,7
185,52.299130,13.631367,8
185,52.299220,13.631370,9
185,52.299346,13.631360,10
185,52.299472,13.631365,11
185,52.299544,13.631353,12
185,52.299670,13.631358,13
185,52.300039,13.631342,14
185,52.301558,13.631324,15
185,52.302565,13.631303,16
185,52.302798,13.631311,17
185,52.303463,13.631307,18
185,52.304012,13.631297,19
